"","cellname","cluster","celltype","nUMI"
"X1772063078_E02","X1772063078_E02",2,"eNeuron",6188
"X1772063061_H12","X1772063061_H12",2,"eNeuron",9603
"X1772063061_E05","X1772063061_E05",2,"eNeuron",8294
"X1772058177_G03","X1772058177_G03",2,"eNeuron",9207
"X1772063068_E07","X1772063068_E07",2,"eNeuron",4689
"X1772063061_C11","X1772063061_C11",2,"eNeuron",4122
"X1772063061_D11","X1772063061_D11",2,"eNeuron",6093
"X1772063061_E06","X1772063061_E06",2,"eNeuron",4908
"X1772063071_A03","X1772063071_A03",2,"eNeuron",5753
"X1772058171_C07","X1772058171_C07",2,"eNeuron",4660
"X1772063061_G12","X1772063061_G12",2,"eNeuron",4477
"X1772062128_H06","X1772062128_H06",2,"eNeuron",3566
"X1772062115_C08","X1772062115_C08",2,"eNeuron",7693
"X1772063061_C02","X1772063061_C02",2,"eNeuron",9768
"X1772063061_C06","X1772063061_C06",2,"eNeuron",6043
"X1772063061_H01","X1772063061_H01",2,"eNeuron",6302
"X1772063061_B06","X1772063061_B06",2,"eNeuron",3695
"X1772063071_E12","X1772063071_E12",2,"eNeuron",5874
"X1772058177_C10","X1772058177_C10",2,"eNeuron",4898
"X1772058177_H05","X1772058177_H05",2,"eNeuron",4197
"X1772063061_F06","X1772063061_F06",2,"eNeuron",6233
"X1772058177_H07","X1772058177_H07",2,"eNeuron",2958
"X1772058171_E01","X1772058171_E01",2,"eNeuron",5624
"X1772063061_A02","X1772063061_A02",2,"eNeuron",4941
"X1772063061_B01","X1772063061_B01",2,"eNeuron",4686
"X1772063068_F09","X1772063068_F09",2,"eNeuron",3656
"X1772063064_C02","X1772063064_C02",2,"eNeuron",4789
"X1772063061_G01","X1772063061_G01",2,"eNeuron",3239
"X1772063068_B04","X1772063068_B04",2,"eNeuron",3697
"X1772063077_C06","X1772063077_C06",2,"eNeuron",4222
"X1772063061_H08","X1772063061_H08",2,"eNeuron",4615
"X1772062128_E06","X1772062128_E06",2,"eNeuron",3503
"X1772063063_E11","X1772063063_E11",2,"eNeuron",4355
"X1772063070_F01","X1772063070_F01",2,"eNeuron",7498
"X1772063078_F03","X1772063078_F03",2,"eNeuron",4795
"X1772062115_D06","X1772062115_D06",2,"eNeuron",4980
"X1772063062_D12","X1772063062_D12",2,"eNeuron",6512
"X1772062113_D06","X1772062113_D06",2,"eNeuron",6786
"X1772063062_D06","X1772063062_D06",2,"eNeuron",5889
"X1772062114_F10","X1772062114_F10",2,"eNeuron",6327
"X1772063078_C04","X1772063078_C04",2,"eNeuron",3034
"X1772063068_C12","X1772063068_C12",2,"eNeuron",4036
"X1772062109_G11","X1772062109_G11",2,"eNeuron",9363
"X1772062115_E09","X1772062115_E09",2,"eNeuron",6019
"X1772063062_A03","X1772063062_A03",2,"eNeuron",3429
"X1772062114_G07","X1772062114_G07",2,"eNeuron",4938
"X1772062113_G03","X1772062113_G03",2,"eNeuron",7306
"X1772067063_H06","X1772067063_H06",2,"eNeuron",8313
"X1772062114_A02","X1772062114_A02",2,"eNeuron",7279
"X1772062109_D07","X1772062109_D07",2,"eNeuron",6015
"X1772062113_E03","X1772062113_E03",2,"eNeuron",7408
"X1772067073_H12","X1772067073_H12",2,"eNeuron",7581
"X1772062111_H03","X1772062111_H03",2,"eNeuron",3913
"X1772067073_D11","X1772067073_D11",2,"eNeuron",6566
"X1772063071_D09","X1772063071_D09",2,"eNeuron",3128
"X1772063071_E09","X1772063071_E09",2,"eNeuron",4102
"X1772062113_D03","X1772062113_D03",2,"eNeuron",4723
"X1772063070_D11","X1772063070_D11",2,"eNeuron",6856
"X1772067074_D06","X1772067074_D06",2,"eNeuron",6515
"X1772063063_A07","X1772063063_A07",2,"eNeuron",5927
"X1772062111_C10","X1772062111_C10",2,"eNeuron",3452
"X1772071041_E08","X1772071041_E08",2,"eNeuron",7831
"X1772063065_D09","X1772063065_D09",2,"eNeuron",4407
"X1772062111_E07","X1772062111_E07",2,"eNeuron",4206
"X1772067070_F11","X1772067070_F11",2,"eNeuron",4896
"X1772063063_H04","X1772063063_H04",2,"eNeuron",6420
"X1772067073_D12","X1772067073_D12",2,"eNeuron",6647
"X1772071040_G12","X1772071040_G12",2,"eNeuron",7567
"X1772062115_E10","X1772062115_E10",2,"eNeuron",4108
"X1772063068_E12","X1772063068_E12",2,"eNeuron",4024
"X1772060225_E04","X1772060225_E04",2,"eNeuron",2039
"X1772063068_G01","X1772063068_G01",2,"eNeuron",3355
"X1772063065_B10","X1772063065_B10",2,"eNeuron",2325
"X1772063065_H05","X1772063065_H05",2,"eNeuron",1554
"X1772060224_F11","X1772060224_F11",2,"eNeuron",4698
"X1772062113_A04","X1772062113_A04",2,"eNeuron",3570
"X1772071040_H08","X1772071040_H08",2,"eNeuron",4003
"X1772063074_C06","X1772063074_C06",2,"eNeuron",2636
"X1772063065_A08","X1772063065_A08",2,"eNeuron",2203
"X1772063071_B03","X1772063071_B03",2,"eNeuron",2396
"X1772063071_E05","X1772063071_E05",2,"eNeuron",2972
"X1772062113_B05","X1772062113_B05",2,"eNeuron",2294
"X1772063078_E04","X1772063078_E04",2,"eNeuron",1871
"X1772063068_C02","X1772063068_C02",2,"eNeuron",2564
"X1772063068_E08","X1772063068_E08",2,"eNeuron",3460
"X1772063068_C05","X1772063068_C05",2,"eNeuron",2563
"X1772063070_D09","X1772063070_D09",2,"eNeuron",5987
"X1772063077_B04","X1772063077_B04",2,"eNeuron",6581
"X1772062114_B06","X1772062114_B06",2,"eNeuron",3640
"X1772063065_B05","X1772063065_B05",2,"eNeuron",2932
"X1772063078_D10","X1772063078_D10",2,"eNeuron",3420
"X1772063078_E06","X1772063078_E06",2,"eNeuron",3020
"X1772063078_G09","X1772063078_G09",2,"eNeuron",3396
"X1772063070_F09","X1772063070_F09",2,"eNeuron",6630
"X1772063068_B07","X1772063068_B07",2,"eNeuron",3439
"X1772063068_A07","X1772063068_A07",2,"eNeuron",2089
"X1772062114_G09","X1772062114_G09",2,"eNeuron",3678
"X1772060224_C05","X1772060224_C05",2,"eNeuron",4316
"X1772063078_C10","X1772063078_C10",2,"eNeuron",2671
"X1772062128_F12","X1772062128_F12",2,"eNeuron",2989
"X1772060240_F09","X1772060240_F09",2,"eNeuron",3545
"X1772062128_A11","X1772062128_A11",2,"eNeuron",3709
"X1772060240_E07","X1772060240_E07",2,"eNeuron",5193
"X1772060240_E09","X1772060240_E09",2,"eNeuron",3167
"X1772060240_D04","X1772060240_D04",2,"eNeuron",3139
"X1772063068_D02","X1772063068_D02",2,"eNeuron",5375
"X1772063063_A02","X1772063063_A02",2,"eNeuron",4067
"X1772063068_E03","X1772063068_E03",2,"eNeuron",3424
"X1772060240_A02","X1772060240_A02",2,"eNeuron",4148
"X1772060240_C06","X1772060240_C06",2,"eNeuron",4211
"X1772060240_B09","X1772060240_B09",2,"eNeuron",3646
"X1772060240_A05","X1772060240_A05",2,"eNeuron",5477
"X1772060240_G02","X1772060240_G02",2,"eNeuron",4691
"X1772063065_A06","X1772063065_A06",2,"eNeuron",3494
"X1772063077_B02","X1772063077_B02",2,"eNeuron",3758
"X1772063068_E02","X1772063068_E02",2,"eNeuron",3768
"X1772063068_C11","X1772063068_C11",2,"eNeuron",3800
"X1772063068_C06","X1772063068_C06",2,"eNeuron",5374
"X1772063077_A07","X1772063077_A07",2,"eNeuron",6696
"X1772067069_B11","X1772067069_B11",2,"eNeuron",3469
"X1772071040_C06","X1772071040_C06",2,"eNeuron",7812
"X1772071040_D07","X1772071040_D07",2,"eNeuron",5504
"X1772062116_E12","X1772062116_E12",2,"eNeuron",7918
"X1772067070_D03","X1772067070_D03",2,"eNeuron",3140
"X1772062111_B08","X1772062111_B08",2,"eNeuron",4107
"X1772071040_H11","X1772071040_H11",2,"eNeuron",6057
"X1772067070_C07","X1772067070_C07",2,"eNeuron",8811
"X1772071017_A02","X1772071017_A02",2,"eNeuron",8077
"X1772062109_C04","X1772062109_C04",2,"eNeuron",8267
"X1772071017_G07","X1772071017_G07",2,"eNeuron",9129
"X1772067074_A09","X1772067074_A09",2,"eNeuron",11476
"X1772071041_C06","X1772071041_C06",2,"eNeuron",8485
"X1772067070_D09","X1772067070_D09",2,"eNeuron",3727
"X1772067063_C06","X1772067063_C06",2,"eNeuron",8079
"X1772063063_D03","X1772063063_D03",2,"eNeuron",6250
"X1772071041_B09","X1772071041_B09",2,"eNeuron",3127
"X1772067066_D09","X1772067066_D09",2,"eNeuron",6352
"X1772071017_E11","X1772071017_E11",2,"eNeuron",4476
"X1772071017_B07","X1772071017_B07",2,"eNeuron",7287
"X1772060225_G12","X1772060225_G12",2,"eNeuron",3674
"X1772071041_A09","X1772071041_A09",2,"eNeuron",3515
"X1772067069_D09","X1772067069_D09",2,"eNeuron",9310
"X1772062116_F11","X1772062116_F11",2,"eNeuron",6169
"X1772066104_H07","X1772066104_H07",2,"eNeuron",7155
"X1772066104_H05","X1772066104_H05",2,"eNeuron",2782
"X1772066104_G09","X1772066104_G09",2,"eNeuron",2134
"X1772066104_A04","X1772066104_A04",2,"eNeuron",2732
"X1772066104_A01","X1772066104_A01",2,"eNeuron",1908
"X1772067064_G07","X1772067064_G07",3,"Olig",6346
"X1772067070_D08","X1772067070_D08",3,"Olig",2016
"X1772058177_D03","X1772058177_D03",3,"Olig",8979
"X1772067074_C07","X1772067074_C07",3,"Olig",15989
"X1772063070_G03","X1772063070_G03",3,"Olig",7785
"X1772058177_D09","X1772058177_D09",3,"Olig",8474
"X1772063063_C07","X1772063063_C07",3,"Olig",6312
"X1772062114_G10","X1772062114_G10",3,"Olig",9442
"X1772063061_G05","X1772063061_G05",3,"Olig",4285
"X1772058171_C02","X1772058171_C02",3,"Olig",6107
"X1772067063_D03","X1772067063_D03",3,"Olig",5369
"X1772062111_F07","X1772062111_F07",3,"Olig",5110
"X1772067070_A05","X1772067070_A05",3,"Olig",1954
"X1772062111_H05","X1772062111_H05",3,"Olig",3217
"X1772062114_A12","X1772062114_A12",3,"Olig",4953
"X1772060226_F05","X1772060226_F05",3,"Olig",2259
"X1772062115_A09","X1772062115_A09",3,"Olig",3369
"X1772062109_A05","X1772062109_A05",3,"Olig",4203
"X1772062116_B05","X1772062116_B05",3,"Olig",4256
"X1772060240_A10","X1772060240_A10",3,"Olig",1963
"X1772062115_D07","X1772062115_D07",3,"Olig",4081
"X1772063063_F08","X1772063063_F08",3,"Olig",3006
"X1772060224_G07","X1772060224_G07",3,"Olig",3767
"X1772060224_B04","X1772060224_B04",3,"Olig",2056
"X1772062115_C01","X1772062115_C01",3,"Olig",2893
"X1772060225_A11","X1772060225_A11",3,"Olig",1071
"X1772063078_B09","X1772063078_B09",3,"Olig",2541
"X1772063062_E07","X1772063062_E07",3,"Olig",2701
"X1772062115_G09","X1772062115_G09",3,"Olig",1388
"X1772063078_A11","X1772063078_A11",3,"Olig",1518
"X1772060225_A05","X1772060225_A05",3,"Olig",2875
"X1772062115_F08","X1772062115_F08",3,"Olig",2240
"X1772062128_B02","X1772062128_B02",3,"Olig",4029
"X1772058177_E11","X1772058177_E11",3,"Olig",3973
"X1772063061_A09","X1772063061_A09",3,"Olig",4278
"X1772058177_A06","X1772058177_A06",3,"Olig",9245
"X1772058171_F09","X1772058171_F09",3,"Olig",6188
"X1772058171_B01","X1772058171_B01",3,"Olig",9074
"X1772058177_E10","X1772058177_E10",3,"Olig",5681
"X1772058171_H07","X1772058171_H07",3,"Olig",12301
"X1772067073_B03","X1772067073_B03",3,"Olig",5323
"X1772067069_H05","X1772067069_H05",3,"Olig",9216
"X1772063063_E07","X1772063063_E07",3,"Olig",7738
"X1772067069_B03","X1772067069_B03",3,"Olig",4471
"X1772067074_E07","X1772067074_E07",3,"Olig",12768
"X1772067069_F06","X1772067069_F06",3,"Olig",11151
"X1772060240_C09","X1772060240_C09",3,"Olig",5098
"X1772063063_F03","X1772063063_F03",3,"Olig",6977
"X1772063063_B04","X1772063063_B04",3,"Olig",4397
"X1772063061_A11","X1772063061_A11",3,"Olig",6471
"X1772063063_C02","X1772063063_C02",3,"Olig",2607
"X1772060240_F11","X1772060240_F11",3,"Olig",2154
"X1772063063_F05","X1772063063_F05",3,"Olig",3146
"X1772060225_F06","X1772060225_F06",3,"Olig",3496
"X1772063063_F10","X1772063063_F10",3,"Olig",6835
"X1772060225_E07","X1772060225_E07",3,"Olig",3254
"X1772060225_D10","X1772060225_D10",3,"Olig",2636
"X1772060225_B07","X1772060225_B07",3,"Olig",2490
"X1772063063_E10","X1772063063_E10",3,"Olig",1514
"X1772060226_G12","X1772060226_G12",3,"Olig",2425
"X1772060226_F10","X1772060226_F10",3,"Olig",1803
"X1772062109_B08","X1772062109_B08",3,"Olig",808
"X1772063079_C10","X1772063079_C10",3,"Olig",1913
"X1772060225_H11","X1772060225_H11",3,"Olig",2115
"X1772062111_F10","X1772062111_F10",3,"Olig",3359
"X1772062111_F05","X1772062111_F05",3,"Olig",2370
"X1772058177_D02","X1772058177_D02",3,"Olig",5566
"X1772062128_F06","X1772062128_F06",3,"Olig",2599
"X1772062111_F11","X1772062111_F11",3,"Olig",3336
"X1772062111_F06","X1772062111_F06",3,"Olig",4368
"X1772062109_C06","X1772062109_C06",3,"Olig",3971
"X1772062113_G05","X1772062113_G05",3,"Olig",3568
"X1772062111_C08","X1772062111_C08",3,"Olig",3942
"X1772062109_A03","X1772062109_A03",3,"Olig",3477
"X1772062111_C01","X1772062111_C01",3,"Olig",3959
"X1772062111_E06","X1772062111_E06",3,"Olig",3471
"X1772062109_H10","X1772062109_H10",3,"Olig",3134
"X1772063077_C03","X1772063077_C03",3,"Olig",4486
"X1772062116_A12","X1772062116_A12",3,"Olig",4933
"X1772062109_E07","X1772062109_E07",3,"Olig",5384
"X1772062128_B11","X1772062128_B11",3,"Olig",3121
"X1772062116_H06","X1772062116_H06",3,"Olig",7297
"X1772062113_D10","X1772062113_D10",3,"Olig",3764
"X1772062109_G03","X1772062109_G03",3,"Olig",5909
"X1772062114_B01","X1772062114_B01",3,"Olig",4417
"X1772062113_H02","X1772062113_H02",3,"Olig",6958
"X1772063074_C02","X1772063074_C02",3,"Olig",3619
"X1772062118_E08","X1772062118_E08",3,"Olig",4020
"X1772063077_B07","X1772063077_B07",3,"Olig",6496
"X1772062114_B10","X1772062114_B10",3,"Olig",3506
"X1772062113_B09","X1772062113_B09",3,"Olig",5934
"X1772062113_D01","X1772062113_D01",3,"Olig",6918
"X1772062109_E08","X1772062109_E08",3,"Olig",4592
"X1772062113_D08","X1772062113_D08",3,"Olig",4499
"X1772062113_G12","X1772062113_G12",3,"Olig",6321
"X1772062115_H08","X1772062115_H08",3,"Olig",4121
"X1772062116_F01","X1772062116_F01",3,"Olig",8969
"X1772062115_C03","X1772062115_C03",3,"Olig",3990
"X1772062115_G07","X1772062115_G07",3,"Olig",3668
"X1772062118_G05","X1772062118_G05",3,"Olig",3092
"X1772071041_E05","X1772071041_E05",3,"Olig",2102
"X1772063061_H11","X1772063061_H11",3,"Olig",2723
"X1772067065_G08","X1772067065_G08",3,"Olig",2212
"X1772071040_D02","X1772071040_D02",3,"Olig",4244
"X1772071041_G10","X1772071041_G10",3,"Olig",3915
"X1772067066_C04","X1772067066_C04",3,"Olig",3376
"X1772071041_F05","X1772071041_F05",3,"Olig",2441
"X1772063070_E07","X1772063070_E07",3,"Olig",8573
"X1772063070_H07","X1772063070_H07",3,"Olig",4167
"X1772071041_F06","X1772071041_F06",3,"Olig",7664
"X1772067066_B04","X1772067066_B04",3,"Olig",6501
"X1772067074_F09","X1772067074_F09",3,"Olig",7028
"X1772071040_C12","X1772071040_C12",3,"Olig",5160
"X1772071040_C10","X1772071040_C10",3,"Olig",3868
"X1772058148_G09","X1772058148_G09",3,"Olig",3541
"X1772067066_H05","X1772067066_H05",3,"Olig",1947
"X1772067064_G04","X1772067064_G04",3,"Olig",3580
"X1772067064_H01","X1772067064_H01",3,"Olig",4929
"X1772067073_D10","X1772067073_D10",3,"Olig",2636
"X1772067073_F06","X1772067073_F06",3,"Olig",3867
"X1772071041_D10","X1772071041_D10",3,"Olig",7403
"X1772058148_F07","X1772058148_F07",3,"Olig",4963
"X1772067069_D04","X1772067069_D04",3,"Olig",8836
"X1772058148_A01","X1772058148_A01",3,"Olig",2510
"X1772058148_G08","X1772058148_G08",3,"Olig",3190
"X1772067064_B10","X1772067064_B10",3,"Olig",3854
"X1772063070_G01","X1772063070_G01",3,"Olig",4186
"X1772067070_H09","X1772067070_H09",3,"Olig",2447
"X1772058148_G11","X1772058148_G11",3,"Olig",2658
"X1772067066_E12","X1772067066_E12",3,"Olig",2542
"X1772067064_D10","X1772067064_D10",3,"Olig",5169
"X1772067063_B07","X1772067063_B07",3,"Olig",3868
"X1772062118_D03","X1772062118_D03",3,"Olig",2490
"X1772067074_F05","X1772067074_F05",3,"Olig",3324
"X1772071040_C04","X1772071040_C04",3,"Olig",3596
"X1772063070_C06","X1772063070_C06",3,"Olig",3093
"X1772058148_A03","X1772058148_A03",3,"Olig",2646
"X1772058148_B08","X1772058148_B08",3,"Olig",4906
"X1772058148_D07","X1772058148_D07",3,"Olig",3519
"X1772067073_C02","X1772067073_C02",3,"Olig",3197
"X1772067073_G10","X1772067073_G10",3,"Olig",3510
"X1772062116_C06","X1772062116_C06",3,"Olig",2530
"X1772062116_A02","X1772062116_A02",3,"Olig",2265
"X1772062116_G03","X1772062116_G03",3,"Olig",2374
"X1772062118_D02","X1772062118_D02",3,"Olig",2449
"X1772067073_E11","X1772067073_E11",3,"Olig",2407
"X1772063062_B03","X1772063062_B03",3,"Olig",4898
"X1772071040_A06","X1772071040_A06",3,"Olig",6535
"X1772058148_F02","X1772058148_F02",3,"Olig",4205
"X1772058148_A10","X1772058148_A10",3,"Olig",3055
"X1772067074_D12","X1772067074_D12",3,"Olig",1975
"X1772062116_F05","X1772062116_F05",3,"Olig",3256
"X1772067074_E11","X1772067074_E11",3,"Olig",4039
"X1772067064_B06","X1772067064_B06",3,"Olig",1784
"X1772067073_D01","X1772067073_D01",3,"Olig",2227
"X1772067069_A09","X1772067069_A09",3,"Olig",2131
"X1772071041_D06","X1772071041_D06",3,"Olig",4324
"X1772071040_H06","X1772071040_H06",3,"Olig",3365
"X1772071040_H10","X1772071040_H10",3,"Olig",3462
"X1772062111_B11","X1772062111_B11",3,"Olig",2071
"X1772067064_C08","X1772067064_C08",3,"Olig",6340
"X1772067069_A02","X1772067069_A02",3,"Olig",4399
"X1772060240_H04","X1772060240_H04",3,"Olig",3332
"X1772062116_B06","X1772062116_B06",3,"Olig",3431
"X1772063063_H07","X1772063063_H07",3,"Olig",4886
"X1772067074_A11","X1772067074_A11",3,"Olig",8652
"X1772062111_B02","X1772062111_B02",3,"Olig",2664
"X1772067074_F04","X1772067074_F04",3,"Olig",6864
"X1772063063_D08","X1772063063_D08",3,"Olig",4576
"X1772071040_G11","X1772071040_G11",3,"Olig",4428
"X1772063063_G10","X1772063063_G10",3,"Olig",5936
"X1772071040_D04","X1772071040_D04",3,"Olig",4277
"X1772062118_C04","X1772062118_C04",3,"Olig",2538
"X1772062109_C12","X1772062109_C12",3,"Olig",3374
"X1772062109_H04","X1772062109_H04",3,"Olig",2780
"X1772071040_G05","X1772071040_G05",3,"Olig",4172
"X1772060240_F06","X1772060240_F06",3,"Olig",3145
"X1772071040_C11","X1772071040_C11",3,"Olig",7107
"X1772067064_C10","X1772067064_C10",3,"Olig",4513
"X1772063070_G06","X1772063070_G06",3,"Olig",5488
"X1772062128_H02","X1772062128_H02",3,"Olig",3274
"X1772062128_D03","X1772062128_D03",3,"Olig",3638
"X1772063061_B12","X1772063061_B12",3,"Olig",3028
"X1772058148_C02","X1772058148_C02",3,"Olig",3477
"X1772062116_C11","X1772062116_C11",3,"Olig",4176
"X1772063061_F04","X1772063061_F04",3,"Olig",2633
"X1772060225_D12","X1772060225_D12",3,"Olig",3101
"X1772058177_C06","X1772058177_C06",3,"Olig",4748
"X1772060240_B12","X1772060240_B12",3,"Olig",3876
"X1772062113_B06","X1772062113_B06",3,"Olig",6383
"X1772062114_H12","X1772062114_H12",3,"Olig",2679
"X1772063062_A06","X1772063062_A06",3,"Olig",4348
"X1772062109_G05","X1772062109_G05",3,"Olig",2846
"X1772063079_C12","X1772063079_C12",3,"Olig",3948
"X1772062116_G06","X1772062116_G06",3,"Olig",4557
"X1772062113_G01","X1772062113_G01",3,"Olig",5681
"X1772062113_F02","X1772062113_F02",3,"Olig",7403
"X1772062113_B01","X1772062113_B01",3,"Olig",6264
"X1772062111_C09","X1772062111_C09",3,"Olig",2679
"X1772062111_G02","X1772062111_G02",3,"Olig",4047
"X1772060224_A07","X1772060224_A07",3,"Olig",4469
"X1772062113_F07","X1772062113_F07",3,"Olig",5487
"X1772062114_F03","X1772062114_F03",3,"Olig",5615
"X1772062111_D11","X1772062111_D11",3,"Olig",4113
"X1772058171_F05","X1772058171_F05",3,"Olig",2862
"X1772062111_E03","X1772062111_E03",3,"Olig",2670
"X1772062113_A05","X1772062113_A05",3,"Olig",6209
"X1772060224_C04","X1772060224_C04",3,"Olig",5258
"X1772058171_G08","X1772058171_G08",3,"Olig",3504
"X1772062113_B04","X1772062113_B04",3,"Olig",6046
"X1772062113_D09","X1772062113_D09",3,"Olig",4369
"X1772062109_C07","X1772062109_C07",3,"Olig",3648
"X1772062109_F01","X1772062109_F01",3,"Olig",5125
"X1772062113_G11","X1772062113_G11",3,"Olig",5902
"X1772062114_A03","X1772062114_A03",3,"Olig",4071
"X1772058177_A02","X1772058177_A02",3,"Olig",4875
"X1772058171_C03","X1772058171_C03",3,"Olig",4417
"X1772062109_A07","X1772062109_A07",3,"Olig",3967
"X1772063061_A07","X1772063061_A07",3,"Olig",4029
"X1772062111_G01","X1772062111_G01",3,"Olig",2658
"X1772058171_C12","X1772058171_C12",3,"Olig",2985
"X1772058171_D10","X1772058171_D10",3,"Olig",3918
"X1772062109_B01","X1772062109_B01",3,"Olig",3821
"X1772063079_F07","X1772063079_F07",3,"Olig",5379
"X1772058171_H02","X1772058171_H02",3,"Olig",10013
"X1772062128_H11","X1772062128_H11",3,"Olig",2337
"X1772062111_D05","X1772062111_D05",3,"Olig",2402
"X1772062113_C03","X1772062113_C03",3,"Olig",5078
"X1772062116_B12","X1772062116_B12",3,"Olig",4326
"X1772062118_F02","X1772062118_F02",3,"Olig",3891
"X1772062114_C07","X1772062114_C07",3,"Olig",2768
"X1772062118_F08","X1772062118_F08",3,"Olig",2158
"X1772062114_B03","X1772062114_B03",3,"Olig",3490
"X1772058171_D06","X1772058171_D06",3,"Olig",6052
"X1772063062_C10","X1772063062_C10",3,"Olig",2332
"X1772058171_C09","X1772058171_C09",3,"Olig",3288
"X1772063062_C07","X1772063062_C07",3,"Olig",4707
"X1772062116_E08","X1772062116_E08",3,"Olig",3313
"X1772062116_E07","X1772062116_E07",3,"Olig",5328
"X1772062113_B03","X1772062113_B03",3,"Olig",3777
"X1772062116_A09","X1772062116_A09",3,"Olig",3534
"X1772062114_E11","X1772062114_E11",3,"Olig",2511
"X1772062128_H05","X1772062128_H05",3,"Olig",3312
"X1772058148_A06","X1772058148_A06",3,"Olig",3314
"X1772062111_G11","X1772062111_G11",3,"Olig",2419
"X1772062113_A01","X1772062113_A01",3,"Olig",4143
"X1772060224_G06","X1772060224_G06",3,"Olig",4589
"X1772062109_A12","X1772062109_A12",3,"Olig",4049
"X1772062115_B06","X1772062115_B06",3,"Olig",2342
"X1772071040_D12","X1772071040_D12",3,"Olig",3208
"X1772058171_F06","X1772058171_F06",3,"Olig",4665
"X1772063063_D06","X1772063063_D06",3,"Olig",6460
"X1772062116_D04","X1772062116_D04",3,"Olig",3355
"X1772063064_D06","X1772063064_D06",3,"Olig",3350
"X1772063074_G12","X1772063074_G12",3,"Olig",2925
"X1772062113_A02","X1772062113_A02",3,"Olig",4644
"X1772058148_A04","X1772058148_A04",3,"Olig",3782
"X1772062113_A12","X1772062113_A12",3,"Olig",4689
"X1772063062_H08","X1772063062_H08",3,"Olig",3064
"X1772063063_B06","X1772063063_B06",3,"Olig",4414
"X1772062113_F03","X1772062113_F03",3,"Olig",7822
"X1772062109_C03","X1772062109_C03",3,"Olig",2734
"X1772062116_F04","X1772062116_F04",3,"Olig",4134
"X1772063062_G01","X1772063062_G01",3,"Olig",2805
"X1772062116_E02","X1772062116_E02",3,"Olig",2750
"X1772063062_C01","X1772063062_C01",3,"Olig",2745
"X1772063074_H11","X1772063074_H11",3,"Olig",2956
"X1772063079_D07","X1772063079_D07",3,"Olig",2674
"X1772071040_G04","X1772071040_G04",3,"Olig",5075
"X1772063063_A01","X1772063063_A01",3,"Olig",5741
"X1772063063_A12","X1772063063_A12",3,"Olig",6085
"X1772071014_D12","X1772071014_D12",3,"Olig",3176
"X1772062109_A09","X1772062109_A09",3,"Olig",2389
"X1772067069_G04","X1772067069_G04",3,"Olig",4846
"X1772062111_E11","X1772062111_E11",3,"Olig",3256
"X1772063074_A11","X1772063074_A11",3,"Olig",2246
"X1772063062_G11","X1772063062_G11",3,"Olig",2565
"X1772062118_H04","X1772062118_H04",3,"Olig",2983
"X1772062109_F04","X1772062109_F04",3,"Olig",3094
"X1772060240_C04","X1772060240_C04",3,"Olig",5140
"X1772067074_F06","X1772067074_F06",3,"Olig",3202
"X1772063063_B10","X1772063063_B10",3,"Olig",3395
"X1772071041_A08","X1772071041_A08",3,"Olig",2862
"X1772063062_B04","X1772063062_B04",3,"Olig",2544
"X1772062114_E05","X1772062114_E05",3,"Olig",2551
"X1772063077_D02","X1772063077_D02",3,"Olig",2876
